Comment,Designator,Footprint
22u,C1,PANASONIC_C
47u,"C2, C3, C8",CAPAE-5.3x5.3h7
18p,"C4, C5, C23, C24, C42, C43",CAP_0603
100n,"C6, C9, C10, C11, C13, C15, C17, C19, C20, C25, C27, C31, C35, C37, C39, C44, C45, C47, C48, C50",CAP_0603
1u,"C7, C18, C30",CAP_0603
10u,"C12, C21, C32, C33, C34, C40, C41, C46",PANASONIC_A
2.2n,"C14, C29",CAP_0603
2.2u,"C16, C22",CAP_0805
10n,"C26, C28, C36, C38",CAP_0603
220p,C49,CAP_0603
BAT54S,D3,SOT23
MB1S,D7,SOP-4/6.5x2.54
LM1117-3.3,IC1,SOT223-4
STM32F405RGT6,IC2,TQFP-10X10-64
LM4040B10,IC3,DBZ_R-PDSO-G3
4051PW,IC4,TSSOP16
MCP6002,"IC5, IC7, IC9",SO08
WM8731,IC6,SSOP28
TL072,IC8,SO08
Bead,"L1, L2, L3",603
8MHz,Q1,TSC 7A crystal
MMBT3904,Q2,SOT23-BEC
12.288MHz,Q3,TSC 7A crystal
180,"R1, R3, R4, R5",RES_0603
4.7,R2,R1206
10k,"R6, R7, R8",RES_0603
100k,"R11, R14, R19, R21, R22, R34, R35, R52",RES_0603
2.2k,"R12, R16, R17",RES_0603
47k,"R13, R33, R38, R39, R41, R42, R44",RES_0603
180k,R15,RES_0603
20k,"R18, R25, R26, R31, R32",RES_0603
120k,"R20, R23, R24, R36, R37",RES_0603
36k,"R27, R54",RES_0603
6.8k,"R40, R43, R51",RES_0603
3.3M,R50,RES_0603
1M,R53,RES_0603
1.0k,"R55, R56",RES_0603
470k,R57,RES_0603
1.0k,"R58, R59, R98, R101",RES_0603
TLV2172,"U1, U19",TSSOP-8